referee,num_rounds,title_fight,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
Gary Copeland,3,F,M,Decision,Unanimous,3,5:00,UFC Live: Sanchez vs Kampmann,2011-03-03,Louisville,Kentucky,USA,0.0,55.0,21.0,45.0,12.0,6.0,2.0,4.0,0.0,3:43
Yves Lavigne,3,F,M,KO/TKO,Punch to Head At Distance,1,4:06,UFC 173: Barao vs Dillashaw,2014-05-24,Las Vegas,Nevada,USA,1.0,69.0,40.0,67.0,38.0,2.0,1.0,1.0,0.0,0:37
Kerry Hatley,3,F,M,Submission,D'Arce Choke On Ground,1,1:52,UFC 166: Velasquez vs Dos Santos 3,2013-10-19,Houston,Texas,USA,0.0,18.0,7.0,15.0,5.0,0.0,0.0,1.0,0.0,0:17
Kevin Mulhall,3,F,M,Submission,Arm Triangle From Half Guard,1,3:08,UFC on FX: Belfort vs. Rockhold,2013-05-18,Jaragua do Sul,Santa Catarina,Brazil,0.0,9.0,6.0,8.0,5.0,1.0,1.0,1.0,0.0,0:57
Herb Dean,3,F,M,KO/TKO,"Kick to Head At Distance
      Wheel Kick",2,4:56,UFC on FOX: Henderson vs Thomson,2014-01-25,Chicago,Illinois,USA,2.0,111.0,51.0,104.0,46.0,1.0,1.0,1.0,0.0,1:26
Chris Tognoni,3,F,M,Decision,Unanimous,3,5:00,The Ultimate Fighter: Team Bisping vs Team Miller Finale,2011-12-03,Las Vegas,Nevada,USA,0.0,234.0,62.0,232.0,61.0,1.0,1.0,1.0,0.0,0:10
Mario Yamasaki,3,F,M,Submission,Triangle Choke From Bottom Guard,2,1:52,UFC 58: USA vs Canada,2006-03-04,Las Vegas,Nevada,USA,0.0,67.0,31.0,58.0,22.0,0.0,0.0,1.0,0.0,0:22
Jon Schorle,3,F,M,Submission,"Rear Naked Choke
      Technical Submission",2,4:33,UFC Fight Night: Fight for the Troops 2,2011-01-22,Killeen,Texas,USA,0.0,112.0,55.0,72.0,16.0,9.0,2.0,0.0,0.0,2:52
John McCarthy,3,F,M,TKO - Doctor's Stoppage,Facial Cut,2,5:00,UFC 61: Bitter Rivals,2006-07-08,Las Vegas,Nevada,USA,0.0,109.0,76.0,57.0,28.0,6.0,3.0,1.0,0.0,5:40
Larry Landless,3,F,M,Decision,Unanimous,3,5:00,UFC 37: High Impact,2002-05-10,Bossier City,Louisiana,USA,0.0,81.0,58.0,32.0,19.0,6.0,3.0,1.0,2.0,6:48
Tom Johnson,3,F,M,TKO - Doctor's Stoppage,Jaw Injury,1,5:00,UFC 135: Jones vs Rampage,2011-09-24,Denver,Colorado,USA,0.0,82.0,31.0,82.0,31.0,0.0,0.0,0.0,0.0,0:02
Marc Goddard,3,F,M,TKO - Doctor's Stoppage,Facial Cut,2,4:38,UFC 105: Couture vs Vera,2009-11-14,Manchester,England,United Kingdom,0.0,135.0,70.0,122.0,59.0,0.0,0.0,0.0,0.0,0:53
Rick Fike,3,F,M,KO/TKO,Punch to Head At Distance,1,0:44,UFC 96: Jackson vs Jardine,2009-03-07,Columbus,Ohio,USA,1.0,12.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0:06
Dan Miragliotta,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Mendes vs Lamas,2015-04-04,Fairfax,Virginia,USA,0.0,173.0,98.0,128.0,59.0,7.0,4.0,0.0,0.0,5:21
Jason Herzog,3,F,M,Submission,"D'Arce Choke From Bottom
      Technical Submission",2,0:57,UFC 173: Barao vs Dillashaw,2014-05-24,Las Vegas,Nevada,USA,0.0,40.0,31.0,19.0,13.0,1.0,1.0,2.0,0.0,4:31
John McCarthy,3,F,M,Submission,Rear Naked Choke,1,0:25,UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Las Vegas,Nevada,USA,1.0,7.0,3.0,7.0,3.0,0.0,0.0,1.0,0.0,0:15
Herb Dean,3,F,M,Decision,Unanimous,3,5:00,UFC 173: Barao vs Dillashaw,2014-05-24,Las Vegas,Nevada,USA,0.0,208.0,121.0,70.0,19.0,7.0,2.0,0.0,0.0,8:49
Frank Collazo,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,San Antonio,Texas,USA,0.0,92.0,26.0,91.0,25.0,1.0,0.0,0.0,0.0,0:20
Kerry Hatley,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Cerrone vs. Medeiros,2018-02-18,Austin,Texas,USA,1.0,162.0,72.0,158.0,68.0,2.0,1.0,0.0,0.0,0:27
Herb Dean,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Dillashaw vs Cruz,2016-01-17,Boston,Massachusetts,USA,0.0,89.0,32.0,85.0,28.0,2.0,2.0,0.0,0.0,1:02
Herb Dean,3,F,M,KO/TKO,Punches to   From Back Control,1,2:43,UFC Fight Night: Holloway vs Oliveira,2015-08-23,Saskatoon,Saskatchewan,Canada,0.0,17.0,8.0,17.0,8.0,0.0,0.0,0.0,0.0,0:00
Marc Goddard,3,F,M,Decision,Unanimous,3,5:00,UFC 153: Silva vs Bonnar,2012-10-13,Rio de Janeiro,,Brazil,0.0,134.0,96.0,63.0,36.0,6.0,5.0,2.0,0.0,6:37
John McCarthy,3,F,M,Submission,Rear Naked Choke,2,2:29,UFC 157: Rousey vs Carmouche,2013-02-23,Anaheim,California,USA,0.0,54.0,9.0,50.0,5.0,5.0,1.0,2.0,0.0,2:08
Josh Rosenthal,3,F,M,Decision,Split,3,5:00,UFC 149: Faber vs Barao,2012-07-21,Calgary,Alberta,Canada,0.0,52.0,29.0,24.0,6.0,8.0,3.0,1.0,1.0,4:26
Herb Dean,3,T,M,Submission,"Rear Naked Choke
      Technical Submission",1,2:47,The Ultimate Fighter: Live Finale,2012-06-01,Las Vegas,Nevada,USA,0.0,15.0,9.0,15.0,9.0,3.0,1.0,1.0,0.0,1:05
Keith Peterson,5,F,M,Decision,Unanimous,5,5:00,UFC Fight Night: Lee vs. Iaquinta,2018-12-15,Milwaukee,Wisconsin,USA,0.0,319.0,121.0,296.0,102.0,5.0,3.0,0.0,0.0,5:25
Dan Miragliotta,5,T,M,Decision,Unanimous,5,5:00,UFC 223: Khabib vs. Iaquinta,2018-04-07,Brooklyn,New York,USA,0.0,352.0,172.0,304.0,134.0,15.0,6.0,1.0,0.0,10:33
Keith Peterson,3,F,M,Decision,Split,3,5:00,UFC Fight Night: Mendes vs Lamas,2015-04-04,Fairfax,Virginia,USA,0.0,173.0,86.0,170.0,83.0,0.0,0.0,0.0,0.0,0:25
Marc Goddard,3,F,M,KO/TKO,Punches to Head In Clinch,2,3:34,UFC 183: Silva vs Diaz,2015-01-31,Las Vegas,Nevada,USA,0.0,86.0,32.0,86.0,32.0,1.0,0.0,0.0,0.0,0:07
Leon Roberts,3,F,M,KO/TKO,Punch to Head In Clinch,2,1:39,UFC Fight Night: Rockhold vs Bisping,2014-11-07,Sydney,New South Wales,Australia,0.0,61.0,21.0,60.0,20.0,1.0,0.0,0.0,0.0,0:00
Yves Lavigne,3,F,M,Decision,Unanimous,3,5:00,UFC 164: Henderson vs Pettis 2,2013-08-31,Milwaukee,Wisconsin,USA,0.0,158.0,47.0,155.0,45.0,6.0,0.0,0.0,0.0,1:08
John Sharp,3,F,M,Decision,Split,3,5:00,UFC Fight Night: Whittaker vs. Brunson,2016-11-26,Melbourne,Victoria,Australia,0.0,70.0,29.0,62.0,22.0,3.0,3.0,0.0,0.0,5:19
Dan Miragliotta,3,F,M,KO/TKO,Punch to Head On Ground,1,0:34,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,2016-07-08,Las Vegas,Nevada,USA,1.0,8.0,6.0,8.0,6.0,1.0,0.0,0.0,0.0,0:03
Dan Miragliotta,3,F,M,KO/TKO,Punch to Head At Distance,1,0:21,UFC 210: Cormier vs. Johnson 2,2017-04-08,Buffalo,New York,USA,1.0,13.0,9.0,12.0,8.0,0.0,0.0,0.0,0.0,0:05
Neil Hall,3,F,M,KO/TKO,Punches to Head In Clinch,1,4:28,UFC Fight Night: Volkov vs. Struve,2017-09-02,Rotterdam,Zuid-Holland,Netherlands,1.0,88.0,43.0,86.0,41.0,0.0,0.0,0.0,0.0,0:30
Yves Lavigne,3,F,M,Decision,Split,3,5:00,UFC on FOX: Dillashaw vs. Barao II,2015-07-25,Chicago,Illinois,USA,0.0,120.0,76.0,63.0,29.0,6.0,6.0,0.0,0.0,8:38
John Sharp,3,F,M,Submission,Rear Naked Choke,3,4:45,UFC Fight Night: Hunt vs Mir,2016-03-19,Brisbane,Queensland,Australia,0.0,129.0,50.0,114.0,36.0,4.0,0.0,2.0,0.0,1:14
Gary Ritter,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Chiesa vs. Lee,2017-06-25,Oklahoma City,Oklahoma,USA,0.0,227.0,83.0,226.0,82.0,2.0,1.0,1.0,0.0,0:00
Herb Dean,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Belfort vs Henderson 3,2015-11-07,Sao Paulo,Sao Paulo,Brazil,0.0,79.0,41.0,65.0,31.0,6.0,3.0,0.0,0.0,5:12
John McCarthy,3,F,M,Decision,Unanimous,3,5:00,UFC 188: Velasquez vs Werdum,2015-06-13,Mexico City,Distrito Federal,Mexico,0.0,90.0,49.0,74.0,34.0,2.0,0.0,0.0,1.0,1:17
Steve Perceval,3,F,M,Submission,"Guillotine Choke Standing
      Technical Submission",2,2:34,UFC Fight Night: Hunt vs Nelson,2014-09-20,Saitama,,Japan,0.0,30.0,13.0,29.0,12.0,4.0,1.0,0.0,0.0,2:58
Greg Kleynjans,3,F,M,TKO - Doctor's Stoppage,Eye Injury,2,5:00,UFC 193: Rousey vs Holm,2015-11-14,Melbourne,Victoria,Australia,0.0,136.0,96.0,98.0,62.0,3.0,1.0,0.0,0.0,5:39
John McCarthy,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Maia vs LaFlare,2015-03-21,Rio de Janeiro,,Brazil,0.0,169.0,91.0,115.0,39.0,3.0,3.0,0.0,0.0,9:17
Dan Miragliotta,3,F,M,Submission,Armbar From Mount,1,1:52,UFC Fight Night: Edgar vs Swanson,2014-11-22,Austin,Texas,USA,0.0,14.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,0:00
Steve Perceval,3,F,M,Submission,Guillotine Choke After Drop to Ground,1,4:53,UFC Fight Night: Miocic vs Hunt,2015-05-09,Adelaide,South Australia,Australia,0.0,28.0,4.0,28.0,4.0,2.0,1.0,0.0,0.0,1:30
Kevin MacDonald,5,F,M,KO/TKO,Punch to Head In Clinch,1,1:27,UFC Fight Night: Gaethje vs. Vick,2018-08-25,Lincoln,Nebraska,USA,1.0,15.0,7.0,15.0,7.0,0.0,0.0,0.0,0.0,0:04
Mike Beltran,3,F,M,KO/TKO,Punch to Head In Clinch,1,4:16,UFC 199: Rockhold vs. Bisping 2,2016-06-04,Los Angeles,California,USA,2.0,72.0,48.0,70.0,46.0,2.0,0.0,0.0,0.0,1:20
Kerry Hatley,3,F,M,Submission,D'Arce Choke On Ground,3,0:49,UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04,Houston,Texas,USA,0.0,36.0,14.0,33.0,11.0,5.0,1.0,0.0,0.0,2:15
Dan Miragliotta,3,F,M,Decision,Unanimous,3,5:00,UFC 197: Jones vs Saint Preux,2016-04-23,Las Vegas,Nevada,USA,0.0,145.0,67.0,114.0,39.0,10.0,4.0,0.0,0.0,5:29
Kevin MacDonald,3,F,M,Submission,Guillotine Choke On Ground,1,0:58,UFC Fight Night: Shogun vs Sonnen,2013-08-17,Boston,Massachusetts,USA,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0:22
John Sharp,3,F,M,Submission,"Rear Naked Choke
      Technical Submission",2,1:52,UFC Fight Night: Rockhold vs Bisping,2014-11-07,Sydney,New South Wales,Australia,0.0,69.0,32.0,63.0,26.0,2.0,1.0,1.0,0.0,0:56
Yves Lavigne,3,F,M,Submission,Rear Naked Choke,2,3:49,UFC Fight Night: Shields vs Ellenberger,2011-09-17,New Orleans,Louisiana,USA,0.0,59.0,31.0,43.0,15.0,0.0,0.0,1.0,0.0,0:32
Peter Hickmott,3,F,M,Submission,Triangle Choke From Bottom Guard,3,3:16,UFC Fight Night: Te Huna vs Marquardt,2014-06-28,Auckland,,New Zealand,0.0,167.0,137.0,85.0,60.0,11.0,4.0,1.0,0.0,10:27
Chris Tognoni,3,F,M,KO/TKO,Punch to Head At Distance,2,3:05,UFC Fight Night: Holm vs. Vieira,2022-05-21,Las Vegas,Nevada,USA,0.0,85.0,33.0,85.0,33.0,0.0,0.0,0.0,0.0,0:00
Daniel Movahedi,3,F,M,Submission,D'Arce Choke From Side Control,2,4:26,UFC Fight Night: Aspinall vs. Tybura,2023-07-22,London,England,United Kingdom,0.0,60.0,29.0,46.0,20.0,3.0,2.0,0.0,0.0,3:09
Jakub Muller,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Blachowicz vs. Santos,2019-02-23,Prague,,Czech Republic,0.0,150.0,64.0,150.0,64.0,0.0,0.0,0.0,0.0,0:00
Chris Tognoni,3,F,M,KO/TKO,Punches to Head On Ground,2,1:57,UFC Fight Night: Makhachev vs. Green,2022-02-26,Las Vegas,Nevada,USA,0.0,122.0,93.0,53.0,36.0,2.0,2.0,0.0,0.0,6:08
Marc Goddard,3,F,M,KO/TKO,Elbows to Head In Clinch,1,3:01,UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,Las Vegas,Nevada,USA,0.0,24.0,11.0,24.0,11.0,0.0,0.0,0.0,0.0,0:00
Marc Goddard,3,F,M,Submission,Guillotine Choke From Guard,1,2:25,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Abu Dhabi,Abu Dhabi,United Arab Emirates,0.0,26.0,14.0,26.0,14.0,1.0,1.0,0.0,0.0,0:09
Herb Dean,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,London,England,United Kingdom,0.0,111.0,78.0,32.0,13.0,11.0,8.0,0.0,0.0,13:35
Eduardo Herdy,3,F,M,Submission,Rear Naked Choke,1,0:44,UFC Fight Night: Lee vs. Oliveira,2020-03-14,Brasilia,Distrito Federal,Brazil,0.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0:25
Chris Tognoni,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Gane vs. Volkov,2021-06-26,Las Vegas,Nevada,USA,0.0,227.0,109.0,219.0,103.0,2.0,2.0,2.0,0.0,3:39
,3,F,M,KO/TKO,Punch to Head At Distance,1,3:44,UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Zagreb,,Croatia,1.0,59.0,25.0,59.0,25.0,0.0,0.0,0.0,0.0,0:01
Rich Mitchell,3,F,M,Decision,Split,3,5:00,UFC Fight Night: Shogun vs. Smith,2018-07-22,Hamburg,Hamburg,Germany,0.0,198.0,43.0,198.0,43.0,0.0,0.0,0.0,0.0,0:00
Mario Yamasaki,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Machida vs. Anders,2018-02-03,Belem,Para,Brazil,0.0,129.0,91.0,45.0,28.0,15.0,9.0,0.0,0.0,12:26
Bobby Rehman,3,F,M,KO/TKO,Knee to Head At Distance,3,0:07,UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28,Stockholm,,Sweden,0.0,103.0,62.0,66.0,31.0,4.0,4.0,1.0,0.0,7:20
Gary Copeland,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Blaydes vs. Daukaus,2022-03-26,Columbus,Ohio,USA,0.0,50.0,40.0,20.0,17.0,18.0,11.0,0.0,0.0,12:24
Kerry Hatley,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,Las Vegas,Nevada,USA,0.0,174.0,101.0,133.0,65.0,11.0,9.0,1.0,0.0,8:02
Herb Dean,3,F,M,KO/TKO,Punch to Body At Distance,1,3:47,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,Las Vegas,Nevada,USA,0.0,30.0,11.0,30.0,11.0,3.0,2.0,0.0,0.0,1:30
Mark Smith,3,F,M,Submission,Guillotine Choke After Drop to Guard,1,1:48,UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,Las Vegas,Nevada,USA,0.0,13.0,3.0,13.0,3.0,1.0,0.0,0.0,0.0,0:03
Mike Beltran,3,F,M,KO/TKO,Punch to Body At Distance,3,1:30,UFC 277: Pena vs. Nunes 2,2022-07-30,Dallas,Texas,USA,1.0,151.0,62.0,151.0,62.0,0.0,0.0,0.0,0.0,0:04
Rich Mitchell,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Abu Dhabi,Abu Dhabi,United Arab Emirates,0.0,153.0,73.0,148.0,68.0,4.0,0.0,0.0,0.0,0:22
Marc Goddard,3,F,M,Decision,Majority,3,5:00,UFC 286: Edwards vs. Usman 3,2023-03-18,London,England,United Kingdom,0.0,174.0,106.0,171.0,103.0,3.0,1.0,0.0,0.0,0:05
Herb Dean,3,F,M,KO/TKO,"Kick to Head At Distance
      Wheel kick",3,2:20,UFC Fight Night: Font vs. Aldo,2021-12-04,Las Vegas,Nevada,USA,0.0,118.0,62.0,115.0,59.0,4.0,1.0,0.0,0.0,0:14
Mark Smith,5,F,M,KO/TKO,Punch to Head At Distance,5,0:18,UFC Fight Night: Dos Anjos vs. Fiziev,2022-07-09,Las Vegas,Nevada,USA,0.0,162.0,90.0,110.0,54.0,16.0,2.0,0.0,0.0,6:13
Jacob Montalvo,3,F,M,Decision,Unanimous,3,5:00,UFC 265: Lewis vs. Gane,2021-08-07,Houston,Texas,USA,0.0,263.0,143.0,263.0,143.0,2.0,0.0,0.0,0.0,0:00
Chris Tognoni,3,F,M,KO/TKO,Punch to Head At Distance,1,4:05,UFC 256: Figueiredo vs. Moreno,2020-12-12,Las Vegas,Nevada,USA,0.0,37.0,15.0,37.0,15.0,1.0,0.0,0.0,0.0,0:00
Kevin Sataki,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Maia vs. Askren,2019-10-26,Kallang,,Singapore,0.0,146.0,66.0,133.0,55.0,11.0,0.0,0.0,0.0,1:01
Vjacheslav Kiselev,3,F,M,KO/TKO,Spinning Back Kick Head,1,1:26,UFC Fight Night: Overeem vs. Oleinik,2019-04-20,Saint Petersburg,Saint Petersburg,Russia,1.0,13.0,11.0,12.0,10.0,0.0,0.0,0.0,0.0,0:03
Marc Goddard,3,F,M,Decision,Split,3,5:00,The Ultimate Fighter: Redemption Finale,2017-07-07,Las Vegas,Nevada,USA,0.0,107.0,63.0,77.0,34.0,6.0,2.0,0.0,1.0,3:10
Mark Smith,3,F,M,Decision,Unanimous,3,5:00,UFC 226: Miocic vs. Cormier,2018-07-07,Las Vegas,Nevada,USA,0.0,150.0,66.0,133.0,50.0,4.0,1.0,0.0,0.0,1:02
Jason Herzog,3,F,M,KO/TKO,Punch to Head At Distance,2,1:00,UFC 248: Adesanya vs. Romero,2020-03-07,Las Vegas,Nevada,USA,1.0,28.0,17.0,20.0,12.0,3.0,1.0,2.0,0.0,4:21
Keith Peterson,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Lee vs. Iaquinta,2018-12-15,Milwaukee,Wisconsin,USA,0.0,176.0,110.0,154.0,92.0,4.0,1.0,1.0,0.0,3:41
George Allen,3,F,M,Decision,Unanimous,3,5:00,UFC 241: Cormier vs. Miocic 2,2019-08-17,Anaheim,California,USA,0.0,186.0,113.0,155.0,87.0,5.0,2.0,1.0,0.0,3:19
John McCarthy,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Rodriguez vs. Penn,2017-01-15,Phoenix,Arizona,USA,0.0,102.0,44.0,80.0,22.0,0.0,0.0,0.0,0.0,0:07
Herb Dean,3,F,M,Decision,Unanimous,3,5:00,UFC 218: Holloway vs. Aldo 2,2017-12-02,Detroit,Michigan,USA,0.0,164.0,71.0,137.0,52.0,3.0,1.0,0.0,0.0,0:49
,3,F,M,KO/TKO,Punch to Head At Distance,1,0:30,UFC Fight Night: Manuwa vs. Anderson,2017-03-18,London,England,United Kingdom,1.0,7.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0:01
Peter Hickmott,3,F,M,KO/TKO,Punch to Head At Distance,1,3:33,UFC 242: Khabib vs. Poirier,2019-09-07,Abu Dhabi,Abu Dhabi,United Arab Emirates,1.0,53.0,27.0,53.0,27.0,0.0,0.0,0.0,0.0,0:11
Leon Roberts,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Bisping vs Leites,2015-07-18,Glasgow,Scotland,United Kingdom,0.0,112.0,68.0,85.0,43.0,1.0,0.0,0.0,2.0,6:53
Loic Pora,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Aspinall vs. Tybura,2023-07-22,London,England,United Kingdom,0.0,209.0,87.0,206.0,85.0,4.0,2.0,0.0,0.0,0:48
Marc Goddard,3,F,M,KO/TKO,Punches to Head From Mount,1,1:15,UFC 286: Edwards vs. Usman 3,2023-03-18,London,England,United Kingdom,0.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0:00
Keith Peterson,3,F,M,Submission,Rear Naked Choke,2,1:07,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Las Vegas,Nevada,USA,0.0,27.0,20.0,15.0,8.0,0.0,0.0,1.0,1.0,0:55
Osiris Maia,3,F,M,KO/TKO,Flying Knee Head,2,2:17,UFC 283: Teixeira vs. Hill,2023-01-21,Rio de Janeiro,Rio de Janeiro,Brazil,1.0,53.0,38.0,49.0,34.0,4.0,1.0,0.0,0.0,0:47
Keith Peterson,3,F,M,KO/TKO,Punches to Head On Ground,1,3:17,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,Las Vegas,Nevada,USA,1.0,52.0,31.0,37.0,17.0,1.0,0.0,0.0,0.0,0:24
Jason Herzog,3,F,M,KO/TKO,Punch to Head At Distance,1,0:07,UFC 263: Adesanya vs. Vettori 2,2021-06-12,Glendale,Arizona,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:00
Mark Smith,3,F,M,TKO - Doctor's Stoppage,,3,0:38,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,Las Vegas,Nevada,USA,0.0,141.0,71.0,132.0,64.0,1.0,1.0,0.0,0.0,0:19
Osiris Maia,3,F,M,Submission,Rear Naked Choke,2,4:05,UFC 283: Teixeira vs. Hill,2023-01-21,Rio de Janeiro,Rio de Janeiro,Brazil,0.0,58.0,45.0,33.0,22.0,7.0,4.0,1.0,0.0,5:31
Mark Smith,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Las Vegas,Nevada,USA,1.0,195.0,96.0,195.0,96.0,1.0,1.0,1.0,0.0,0:06
Andrew Glenn,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Thompson vs. Holland,2022-12-03,Orlando,Florida,USA,0.0,137.0,69.0,135.0,67.0,10.0,6.0,0.0,0.0,4:40
Mike Beltran,3,F,M,KO/TKO,Punches to Head From Back Control,1,3:15,UFC 270: Ngannou vs. Gane,2022-01-22,Anaheim,California,USA,4.0,114.0,71.0,101.0,60.0,0.0,0.0,0.0,0.0,1:07
Jacob Montalvo,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Las Vegas,Nevada,USA,1.0,120.0,53.0,111.0,44.0,7.0,3.0,0.0,0.0,3:54
Jason Herzog,3,F,M,Submission,Rear Naked Choke,2,4:55,UFC Fight Night: Muniz vs. Allen,2023-02-25,Las Vegas,Nevada,USA,0.0,67.0,49.0,8.0,2.0,3.0,2.0,3.0,0.0,8:51
John Sharp,3,F,M,Decision,Unanimous,3,5:00,UFC 221: Romero vs. Rockhold,2018-02-10,Perth,Western Australia,Australia,0.0,177.0,59.0,176.0,58.0,0.0,0.0,0.0,0.0,0:00
Herb Dean,3,F,M,KO/TKO,Punch to Head At Distance,2,0:46,UFC 272: Covington vs. Masvidal,2022-03-05,Las Vegas,Nevada,USA,1.0,112.0,53.0,111.0,52.0,1.0,1.0,0.0,0.0,0:02
Herb Dean,3,F,M,Decision,Split,3,5:00,UFC Fight Night: Dos Anjos vs. Fiziev,2022-07-09,Las Vegas,Nevada,USA,1.0,194.0,68.0,190.0,66.0,2.0,0.0,0.0,0.0,0:37
Marc Goddard,3,F,M,Decision,Unanimous,3,5:00,UFC 243: Whittaker vs. Adesanya,2019-10-05,Melbourne,Victoria,Australia,0.0,167.0,104.0,153.0,91.0,1.0,1.0,0.0,1.0,2:59
Dan Miragliotta,3,F,M,KO/TKO,Punches to Head On Ground,2,2:51,UFC Fight Night: Santos vs. Walker,2021-10-02,Las Vegas,Nevada,USA,0.0,67.0,32.0,64.0,29.0,0.0,0.0,0.0,0.0,0:00
Marc Goddard,3,F,M,Decision,Unanimous,3,5:00,UFC 236: Holloway vs. Poirier 2,2019-04-13,Atlanta,Georgia,USA,0.0,124.0,42.0,116.0,35.0,0.0,0.0,1.0,1.0,1:06
Lukasz Bosacki,3,F,M,Decision,Unanimous,3,5:00,UFC 257: Poirier vs. McGregor,2021-01-23,Abu Dhabi,Abu Dhabi,United Arab Emirates,0.0,180.0,103.0,103.0,50.0,12.0,10.0,0.0,0.0,8:24
Herb Dean,3,F,M,KO/TKO,Punch to Head At Distance,1,4:08,UFC 288: Sterling vs. Cejudo,2023-05-06,Newark,New Jersey,USA,0.0,59.0,20.0,59.0,20.0,0.0,0.0,0.0,0.0,0:00
John McCarthy,3,F,M,Submission,Rear Naked Choke,2,1:29,UFC 24: First Defense,2000-03-10,Lake Charles,Louisiana,USA,0.0,78.0,53.0,47.0,22.0,5.0,1.0,2.0,0.0,1:08
Chris Tognoni,3,F,M,Decision,Unanimous,3,5:00,UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Las Vegas,Nevada,USA,0.0,147.0,86.0,107.0,56.0,14.0,3.0,1.0,0.0,6:20
Herb Dean,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Las Vegas,Nevada,USA,0.0,54.0,35.0,28.0,13.0,0.0,0.0,0.0,1.0,0:08
Chris Tognoni,3,F,M,KO/TKO,Punches to Head On Ground,3,4:59,UFC Fight Night: Brunson vs. Holland,2021-03-20,Las Vegas,Nevada,USA,0.0,115.0,74.0,67.0,30.0,2.0,1.0,0.0,0.0,1:21
Keith Peterson,3,F,M,Submission,Rear Naked Choke,3,4:11,UFC Fight Night: Font vs. Vera,2022-04-30,Las Vegas,Nevada,USA,0.0,153.0,111.0,119.0,77.0,0.0,0.0,0.0,0.0,1:12
Herb Dean,3,F,M,Decision,Split,3,5:00,UFC Fight Night: Kattar vs. Emmett,2022-06-18,Austin,Texas,USA,0.0,197.0,83.0,192.0,79.0,6.0,0.0,0.0,0.0,0:46
Lukasz Bosacki,3,F,M,Decision,Split,3,5:00,UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-17,Abu Dhabi,Abu Dhabi,United Arab Emirates,0.0,151.0,69.0,126.0,52.0,16.0,5.0,0.0,0.0,3:29
Herb Dean,3,F,M,Submission,Rear Naked Choke,1,4:48,UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Las Vegas,Nevada,USA,0.0,26.0,15.0,24.0,14.0,0.0,0.0,0.0,0.0,0:10
