referee,num_rounds,title_fight,gender,result,result_details,finish_round,finish_time,event_name,event_date,event_city,event_state,event_country,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
Jerin Valel,3,F,M,Submission,Rear Naked Choke,2,3:22,UFC Fight Night: Marreta vs. Anders,2018-09-22,Sao Paulo,Sao Paulo,Brazil,0.0,60.0,28.0,60.0,28.0,4.0,2.0,1.0,0.0,1:21
Jacob Montalvo,3,F,M,KO/TKO,Punch to Head At Distance,1,1:35,UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,Las Vegas,Nevada,USA,0.0,11.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0:00
Eduardo Herdy,3,F,M,Submission,Armbar On Ground,1,4:57,UFC 179: Aldo vs Mendes 2,2014-10-25,Rio de Janeiro,,Brazil,0.0,26.0,18.0,13.0,7.0,1.0,1.0,2.0,0.0,3:36
Herb Dean,3,F,M,Submission,Rear Naked Choke,1,3:05,UFC Fight Night: Tsarukyan vs. Gamrot,2022-06-25,Las Vegas,Nevada,USA,0.0,9.0,7.0,4.0,3.0,2.0,1.0,1.0,0.0,2:34
Rich Mitchell,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Gustafsson vs. Smith,2019-06-01,Stockholm,,Sweden,0.0,87.0,42.0,61.0,24.0,1.0,1.0,0.0,0.0,2:04
Steve Perceval,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Dos Santos vs. Tuivasa,2018-12-01,Adelaide,South Australia,Australia,0.0,86.0,47.0,55.0,19.0,0.0,0.0,1.0,0.0,1:06
Robbie Scheureumann,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Boetsch vs Henderson,2015-06-06,New Orleans,Louisiana,USA,0.0,80.0,55.0,57.0,32.0,7.0,4.0,0.0,2.0,6:28
Eduardo Herdy,3,F,M,Submission,Rear Naked Choke,1,3:12,UFC Fight Night: Maia vs LaFlare,2015-03-21,Rio de Janeiro,,Brazil,0.0,16.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0:00
Herb Dean,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,London,England,United Kingdom,0.0,116.0,84.0,64.0,36.0,1.0,0.0,0.0,0.0,5:57
Ivan Svec,3,F,M,KO/TKO,Punches to Head From Mount,2,1:23,UFC 231: Holloway vs. Ortega,2018-12-08,Toronto,Ontario,Canada,0.0,112.0,63.0,102.0,54.0,4.0,2.0,1.0,0.0,3:28
Mark Smith,3,F,M,KO/TKO,Punches to Head At Distance,1,3:38,UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Las Vegas,Nevada,USA,0.0,39.0,15.0,38.0,14.0,2.0,0.0,0.0,0.0,0:01
Larry Folsom,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Emmett vs. Topuria,2023-06-24,Jacksonville,Florida,USA,0.0,140.0,65.0,125.0,51.0,0.0,0.0,0.0,1.0,1:23
Jim Perdios,3,F,M,Decision,Unanimous,3,5:00,UFC 293: Adesanya vs. Strickland,2023-09-09,Sydney,New South Wales,Australia,0.0,179.0,88.0,179.0,88.0,2.0,0.0,0.0,0.0,0:00
Osiris Maia,3,F,M,Decision,Unanimous,3,5:00,UFC Fight Night: Lee vs. Oliveira,2020-03-14,Brasilia,Distrito Federal,Brazil,0.0,126.0,55.0,126.0,55.0,1.0,0.0,0.0,0.0,0:00
Jason Herzog,3,F,M,KO/TKO,Kick to Head At Distance,2,4:44,UFC 187: Johnson vs Cormier,2015-05-23,Las Vegas,Nevada,USA,0.0,171.0,71.0,171.0,71.0,0.0,0.0,0.0,0.0,0:00
Marc-Andre Cote,3,F,M,Decision,Unanimous,3,5:00,UFC 154: St-Pierre vs Condit,2012-11-17,Montreal,Quebec,Canada,0.0,369.0,63.0,369.0,63.0,5.0,0.0,0.0,0.0,0:00
