fight_id,f_1,fighter_f_name_x,fighter_nickname_x,fighter_l_name_x,f_2,fighter_f_name_y,fighter_nickname_y,fighter_l_name_y,winner,num_rounds,result,result_details,finish_round,finish_time,fighter_height_cm_x,fighter_weight_lbs_x,fighter_reach_cm_x,fighter_stance_x,fighter_dob_x,fighter_w_x,fighter_l_x,fighter_d_x,fighter_nc_dq_x,fight_stat_id_x,fighter_id_x,knockdowns_x,total_strikes_att_x,total_strikes_succ_x,sig_strikes_att_x,sig_strikes_succ_x,takedown_att_x,takedown_succ_x,submission_att_x,reversals_x,ctrl_time_x,fighter_f_name_y,fighter_l_name_y,fighter_nickname_y,fighter_height_cm_y,fighter_weight_lbs_y,fighter_reach_cm_y,fighter_stance_y,fighter_dob_y,fighter_w_y,fighter_l_y,fighter_d_y,fighter_nc_dq_y,fight_stat_id_y,fighter_id_y,knockdowns_y,total_strikes_att_y,total_strikes_succ_y,sig_strikes_att_y,sig_strikes_succ_y,takedown_att_y,takedown_succ_y,submission_att_y,reversals_y,ctrl_time_y
5397,3816.0,Mirsad,,Bektic,2464.0,Dan,50K,Ige,2464.0,3,Decision,Split,3,5:00,172.72,145.0,177.8,Orthodox,1991-02-16,13,4,0,,10794,3816.0,0.0,74.0,29.0,60.0,17.0,10.0,3.0,1.0,0.0,6:33,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,10793,2464.0,0.0,117.0,64.0,88.0,43.0,2.0,1.0,0.0,0.0,0:54
4950,2586.0,Danny,The Hatchet,Henry,2464.0,Dan,50K,Ige,2464.0,3,Submission,Rear Naked Choke,1,1:17,182.88,145.0,185.42,Orthodox,1988-07-17,12,4,0,,9900,2586.0,0.0,7.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0:00,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,9899,2464.0,1.0,17.0,10.0,17.0,10.0,1.0,1.0,1.0,0.0,0:31
4578,843.0,Mike,,Santiago,2464.0,Dan,50K,Ige,2464.0,3,KO/TKO,Punches to Head From Back Control,1,0:50,177.8,145.0,175.26,Orthodox,1989-07-28,19,12,0,,9156,843.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0:00,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17,7,0,,9155,2464.0,0.0,32.0,29.0,27.0,25.0,1.0,1.0,0.0,0.0,0:32
6797,1662.0,Bryce,Thug Nasty,Mitchell,380.0,Ilia,El Matador,Topuria,380.0,3,Submission,Arm Triangle From Side Control,2,3:10,177.8,145.0,177.8,Southpaw,1994-10-04,16,2,0,,13594,1662.0,0.0,94.0,46.0,82.0,36.0,9.0,1.0,0.0,0.0,1:29,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,13593,380.0,1.0,93.0,53.0,77.0,40.0,0.0,0.0,1.0,0.0,1:18
6412,2583.0,Jai,Black Country Banger,Herbert,380.0,Ilia,El Matador,Topuria,380.0,3,KO/TKO,Punch to Head At Distance,2,1:07,185.42,155.0,195.58,Orthodox,1988-05-13,12,5,1,,12824,2583.0,1.0,94.0,50.0,63.0,22.0,0.0,0.0,0.0,0.0,0:07,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,12823,380.0,1.0,55.0,31.0,41.0,20.0,4.0,1.0,0.0,0.0,2:41
7061,3087.0,Josh,CC0,Emmett,380.0,Ilia,El Matador,Topuria,380.0,5,Decision,Unanimous,5,5:00,167.64,145.0,177.8,Orthodox,1985-03-04,18,4,0,,14122,3087.0,0.0,309.0,89.0,305.0,87.0,0.0,0.0,0.0,0.0,0:00,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,14121,380.0,1.0,365.0,171.0,344.0,152.0,3.0,3.0,0.0,0.0,3:35
6066,2670.0,Ryan,The Wizard,Hall,380.0,Ilia,El Matador,Topuria,380.0,3,KO/TKO,Punches to Head On Ground,1,4:47,177.8,145.0,177.8,Southpaw,1985-02-22,9,2,0,,12132,2670.0,0.0,21.0,13.0,17.0,10.0,3.0,0.0,0.0,0.0,0:00,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,12131,380.0,0.0,32.0,18.0,32.0,18.0,0.0,0.0,0.0,0.0,1:20
5702,31.0,Youssef,The Moroccan Devil,Zalal,380.0,Ilia,El Matador,Topuria,380.0,3,Decision,Unanimous,3,5:00,177.8,135.0,182.88,Switch,1996-09-04,10,5,1,,11404,31.0,0.0,85.0,40.0,53.0,17.0,2.0,0.0,1.0,3.0,2:51,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14,0,0,,11403,380.0,0.0,62.0,30.0,33.0,13.0,9.0,5.0,5.0,0.0,8:02
5739,1662.0,Bryce,Thug Nasty,Mitchell,2991.0,Andre,Touchy,Fili,1662.0,3,Decision,Unanimous,3,5:00,177.8,145.0,177.8,Southpaw,1994-10-04,16,2,0,,11478,1662.0,0.0,135.0,100.0,69.0,46.0,13.0,7.0,1.0,0.0,10:12,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,11477,2991.0,0.0,97.0,51.0,72.0,27.0,0.0,0.0,0.0,2.0,0:34
2649,2532.0,Max,Blessed,Holloway,2991.0,Andre,Touchy,Fili,2532.0,3,Submission,Guillotine Choke After Drop to Half Guard,3,3:39,180.34,145.0,175.26,Orthodox,1991-12-04,25,7,0,,5298,2532.0,0.0,161.0,57.0,149.0,47.0,0.0,0.0,2.0,0.0,0:00,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22,10,0,1.0,5297,2991.0,0.0,141.0,46.0,139.0,44.0,12.0,3.0,0.0,0.0,3:12
