fight_id,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fighter_f_name_fighter2,fighter_l_name_fighter2,fighter_nickname_fighter2,fighter_height_cm_fighter2,fighter_weight_lbs_fighter2,fighter_reach_cm_fighter2,fighter_stance_fighter2,fighter_dob_fighter2,fighter_w_fighter2,fighter_l_fighter2,fighter_d_fighter2,fighter_nc_dq_fighter2,fighter_f_name_fighter1,fighter_l_name_fighter1,fighter_nickname_fighter1,fighter_height_cm_fighter1,fighter_weight_lbs_fighter1,fighter_reach_cm_fighter1,fighter_stance_fighter1,fighter_dob_fighter1,fighter_w_fighter1,fighter_l_fighter1,fighter_d_fighter1,fighter_nc_dq_fighter1,fight_stat_id_x,fighter_id_x,knockdowns_x,total_strikes_att_x,total_strikes_succ_x,sig_strikes_att_x,sig_strikes_succ_x,takedown_att_x,takedown_succ_x,submission_att_x,reversals_x,ctrl_time_x,fighter_f_name_x,fighter_l_name_x,fighter_nickname_x,fighter_height_cm_x,fighter_weight_lbs_x,fighter_reach_cm_x,fighter_stance_x,fighter_dob_x,fighter_w_x,fighter_l_x,fighter_d_x,fighter_nc_dq_x,fight_stat_id_y,fighter_id_y,knockdowns_y,total_strikes_att_y,total_strikes_succ_y,sig_strikes_att_y,sig_strikes_succ_y,takedown_att_y,takedown_succ_y,submission_att_y,reversals_y,ctrl_time_y,fighter_f_name_y,fighter_l_name_y,fighter_nickname_y,fighter_height_cm_y,fighter_weight_lbs_y,fighter_reach_cm_y,fighter_stance_y,fighter_dob_y,fighter_w_y,fighter_l_y,fighter_d_y,fighter_nc_dq_y
5397.0,3816.0,2464.0,1,3,F,Featherweight,M,Decision,Split,3.0,5:00,Mirsad,Bektic,,172.72,145.0,177.8,Orthodox,1991-02-16,13.0,4.0,0.0,1.1536210680321872,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17.0,7.0,0.0,1.158326497128794,10794.0,3816.0,0.0,74.0,29.0,60.0,17.0,10.0,3.0,1.0,0.0,393.0,Mirsad,Bektic,,172.72,145.0,177.8,Orthodox,1991-02-16,13.0,4.0,0.0,1.1536210680321872,10793.0,2464.0,0.0,117.0,64.0,88.0,43.0,2.0,1.0,0.0,0.0,54.0,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17.0,7.0,0.0,1.158326497128794
4950.0,2586.0,2464.0,1,3,F,Featherweight,M,Submission,Rear Naked Choke,1.0,1:17,Danny,Henry,The Hatchet,182.88,145.0,185.42,Orthodox,1988-07-17,12.0,4.0,0.0,1.1536210680321872,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17.0,7.0,0.0,1.158326497128794,9900.0,2586.0,0.0,7.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,Danny,Henry,The Hatchet,182.88,145.0,185.42,Orthodox,1988-07-17,12.0,4.0,0.0,1.1536210680321872,9899.0,2464.0,1.0,17.0,10.0,17.0,10.0,1.0,1.0,1.0,0.0,31.0,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17.0,7.0,0.0,1.158326497128794
4578.0,843.0,2464.0,1,3,F,Featherweight,M,KO/TKO,Punches to Head From Back Control,1.0,0:50,Mike,Santiago,,177.8,145.0,175.26,Orthodox,1989-07-28,19.0,12.0,0.0,1.1536210680321872,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17.0,7.0,0.0,1.158326497128794,9156.0,843.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike,Santiago,,177.8,145.0,175.26,Orthodox,1989-07-28,19.0,12.0,0.0,1.1536210680321872,9155.0,2464.0,0.0,32.0,29.0,27.0,25.0,1.0,1.0,0.0,0.0,32.0,Dan,Ige,50K,170.18,145.0,180.34,Orthodox,1991-08-06,17.0,7.0,0.0,1.158326497128794
6797.0,1662.0,380.0,1,3,F,Featherweight,M,Submission,Arm Triangle From Side Control,2.0,3:10,Bryce,Mitchell,Thug Nasty,177.8,145.0,177.8,Southpaw,1994-10-04,16.0,2.0,0.0,1.1536210680321872,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794,13594.0,1662.0,0.0,94.0,46.0,82.0,36.0,9.0,1.0,0.0,0.0,89.0,Bryce,Mitchell,Thug Nasty,177.8,145.0,177.8,Southpaw,1994-10-04,16.0,2.0,0.0,1.1536210680321872,13593.0,380.0,1.0,93.0,53.0,77.0,40.0,0.0,0.0,1.0,0.0,78.0,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794
6412.0,2583.0,380.0,1,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,2.0,1:07,Jai,Herbert,Black Country Banger,185.42,155.0,195.58,Orthodox,1988-05-13,12.0,5.0,1.0,1.1536210680321872,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794,12824.0,2583.0,1.0,94.0,50.0,63.0,22.0,0.0,0.0,0.0,0.0,7.0,Jai,Herbert,Black Country Banger,185.42,155.0,195.58,Orthodox,1988-05-13,12.0,5.0,1.0,1.1536210680321872,12823.0,380.0,1.0,55.0,31.0,41.0,20.0,4.0,1.0,0.0,0.0,161.0,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794
7061.0,3087.0,380.0,1,5,F,Featherweight,M,Decision,Unanimous,5.0,5:00,Josh,Emmett,CC0,167.64,145.0,177.8,Orthodox,1985-03-04,18.0,4.0,0.0,1.1536210680321872,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794,14122.0,3087.0,0.0,309.0,89.0,305.0,87.0,0.0,0.0,0.0,0.0,0.0,Josh,Emmett,CC0,167.64,145.0,177.8,Orthodox,1985-03-04,18.0,4.0,0.0,1.1536210680321872,14121.0,380.0,1.0,365.0,171.0,344.0,152.0,3.0,3.0,0.0,0.0,215.0,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794
6066.0,2670.0,380.0,1,3,F,Featherweight,M,KO/TKO,Punches to Head On Ground,1.0,4:47,Ryan,Hall,The Wizard,177.8,145.0,177.8,Southpaw,1985-02-22,9.0,2.0,0.0,1.1536210680321872,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794,12132.0,2670.0,0.0,21.0,13.0,17.0,10.0,3.0,0.0,0.0,0.0,0.0,Ryan,Hall,The Wizard,177.8,145.0,177.8,Southpaw,1985-02-22,9.0,2.0,0.0,1.1536210680321872,12131.0,380.0,0.0,32.0,18.0,32.0,18.0,0.0,0.0,0.0,0.0,80.0,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794
5702.0,31.0,380.0,1,3,F,Featherweight,M,Decision,Unanimous,3.0,5:00,Youssef,Zalal,The Moroccan Devil,177.8,135.0,182.88,Switch,1996-09-04,10.0,5.0,1.0,1.1536210680321872,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794,11404.0,31.0,0.0,85.0,40.0,53.0,17.0,2.0,0.0,1.0,3.0,171.0,Youssef,Zalal,The Moroccan Devil,177.8,135.0,182.88,Switch,1996-09-04,10.0,5.0,1.0,1.1536210680321872,11403.0,380.0,0.0,62.0,30.0,33.0,13.0,9.0,5.0,5.0,0.0,482.0,Ilia,Topuria,El Matador,170.18,145.0,175.26,Orthodox,1997-01-21,14.0,0.0,0.0,1.158326497128794
5739.0,1662.0,2991.0,0,3,F,Featherweight,M,Decision,Unanimous,3.0,5:00,Bryce,Mitchell,Thug Nasty,177.8,145.0,177.8,Southpaw,1994-10-04,16.0,2.0,0.0,1.1536210680321872,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,11478.0,1662.0,0.0,135.0,100.0,69.0,46.0,13.0,7.0,1.0,0.0,612.0,Bryce,Mitchell,Thug Nasty,177.8,145.0,177.8,Southpaw,1994-10-04,16.0,2.0,0.0,1.1536210680321872,11477.0,2991.0,0.0,97.0,51.0,72.0,27.0,0.0,0.0,0.0,2.0,34.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
2649.0,2532.0,2991.0,0,3,F,Featherweight,M,Submission,Guillotine Choke After Drop to Half Guard,3.0,3:39,Max,Holloway,Blessed,180.34,145.0,175.26,Orthodox,1991-12-04,25.0,7.0,0.0,1.1536210680321872,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0,5298.0,2532.0,0.0,161.0,57.0,149.0,47.0,0.0,0.0,2.0,0.0,0.0,Max,Holloway,Blessed,180.34,145.0,175.26,Orthodox,1991-12-04,25.0,7.0,0.0,1.1536210680321872,5297.0,2991.0,0.0,141.0,46.0,139.0,44.0,12.0,3.0,0.0,0.0,192.0,Andre,Fili,Touchy,180.34,145.0,187.96,Orthodox,1990-06-25,22.0,10.0,0.0,1.0
